group,mean,median,std,q25,q75,iqr,min,max,n,mean_std,median_iqr
extra-small-JSON-minify0-gzip0,4.270952395,4.237524649999999,0.045415245906845265,4.2368385625,4.305060125,0.06822156249999978,4.23667475,4.3721226,10,4.271 ± 0.045,"4.238 [4.237, 4.305]"
extra-small-JSON-minify0-gzip1,2.23756780125,2.2708325625,0.04548131635095444,2.203515073125,2.27179678875,0.06828171562499996,2.13616413,2.27202726,10,2.238 ± 0.045,"2.271 [2.204, 2.272]"
extra-small-JSON-minify1-gzip0,3.103923265,3.1041524250000005,0.06748248329840131,3.03626545,3.1713392750000002,0.1350738250000001,3.03591925,3.1719940000000006,10,3.104 ± 0.067,"3.104 [3.036, 3.171]"
extra-small-JSON-minify1-gzip1,2.15564514675,2.136716595,0.04218317200440084,2.1361966575,2.1389759925,0.0027793349999996053,2.13587586,2.27347086,10,2.156 ± 0.042,"2.137 [2.136, 2.139]"
extra-small-HTML-gzip0,1.53187806,1.5318340250000002,0.00012787580654678672,1.5317864500000002,1.5318932125,0.0001067624999997463,1.53175465,1.53216445,10,1.532 ± 0.000,"1.532 [1.532, 1.532]"
extra-small-HTML-gzip1,0.9503854,0.9321510500000001,0.053958660050551624,0.9321001625,0.9323919125,0.000291749999999924,0.9320381,1.1122495,10,0.950 ± 0.054,"0.932 [0.932, 0.932]"
small-JSON-minify0-gzip0,11.66257013,11.661973225,0.0013211288374338072,11.661778237500002,11.66320045,0.0014222124999978547,11.661253,11.6653476,10,11.663 ± 0.001,"11.662 [11.662, 11.663]"
small-JSON-minify0-gzip1,2.5029265815,2.5026921937499997,0.0006717222567755175,2.5025234362500006,2.5034398575,0.0009164212499994662,2.5020115575000004,2.5042342125,10,2.503 ± 0.001,"2.503 [2.503, 2.503]"
small-JSON-minify1-gzip0,6.491434695000001,6.491139425,0.0011608197585002008,6.4907772375,6.4916115,0.0008342625000006265,6.4899859,6.4943756,10,6.491 ± 0.001,"6.491 [6.491, 6.492]"
small-JSON-minify1-gzip1,2.4355608780000004,2.4351687450000004,0.0010870023779992893,2.4350378325000004,2.4352428450000003,0.00020501249999993476,2.4347538,2.4384293100000005,10,2.436 ± 0.001,"2.435 [2.435, 2.435]"
small-HTML-gzip0,3.18680316,3.1863143750000003,0.0014537032387663986,3.1858181375,3.187655525,0.001837387499999732,3.1851150500000003,3.1901316000000004,10,3.187 ± 0.001,"3.186 [3.186, 3.188]"
small-HTML-gzip1,0.9371769749999999,0.9371406499999999,0.000530006213289049,0.936744825,0.9374948375000001,0.0007500125000000635,0.93641985,0.9382817,10,0.937 ± 0.001,"0.937 [0.937, 0.937]"
medium-JSON-minify0-gzip0,40.63801738874999,40.637264375,0.0016269891838266474,40.63683262187497,40.63880095,0.0019683281250237883,40.63648085,40.641750849999994,10,40.638 ± 0.002,"40.637 [40.637, 40.639]"
medium-JSON-minify0-gzip1,3.991085595,3.9906057749999997,0.0014333641505998155,3.9899891125,3.9920001000000003,0.002010987500000283,3.9893425000000007,3.99364515,10,3.991 ± 0.001,"3.991 [3.990, 3.992]"
medium-JSON-minify1-gzip0,20.077438525,20.07507105,0.007016643711249541,20.07462485,20.0758495625,0.0012247125000008907,20.07383105,20.0983432,10,20.077 ± 0.007,"20.075 [20.075, 20.076]"
medium-JSON-minify1-gzip1,3.438226545,3.43863745,0.0014700277822972017,3.4365649124999993,3.4392642375,0.0026993250000009184,3.4364448000000003,3.44043805,10,3.438 ± 0.001,"3.439 [3.437, 3.439]"
medium-HTML-gzip0,9.93416675,9.925026175000001,0.027881383531785136,9.918616437499999,9.9322403625,0.01362392500000098,9.91129365,10.0119603,10,9.934 ± 0.028,"9.925 [9.919, 9.932]"
medium-HTML-gzip1,1.423000435,1.38546275,0.06140135741659147,1.3787014375000002,1.458552675,0.07985123749999978,1.3595621,1.5456647499999998,10,1.423 ± 0.061,"1.385 [1.379, 1.459]"
large-JSON-minify0-gzip0,83.87514279000001,83.874483025,0.002267710249658381,83.87384166250001,83.87504870000001,0.0012070374999950673,83.8725546,83.88047215,10,83.875 ± 0.002,"83.874 [83.874, 83.875]"
large-JSON-minify0-gzip1,6.37016799275,6.369042063749999,0.004135202848600254,6.366810300000001,6.3721391999999994,0.0053288999999985265,6.3660514,6.3792173000000005,10,6.370 ± 0.004,"6.369 [6.367, 6.372]"
large-JSON-minify1-gzip0,40.346457325,40.34504885,0.005244938870392011,40.3436573875,40.3463692625,0.0027118749999957004,40.34278035,40.36174495000001,10,40.346 ± 0.005,"40.345 [40.344, 40.346]"
large-JSON-minify1-gzip1,5.27458494425,5.2731452,0.0040072528021293016,5.272703998125,5.2742463375,0.0015423393749998127,5.2718654,5.286222400000001,10,5.275 ± 0.004,"5.273 [5.273, 5.274]"
large-HTML-gzip0,20.256309885,20.272193,0.046465133640095885,20.2292080125,20.2911682125,0.061960200000001464,20.148462100000003,20.303205199999997,10,20.256 ± 0.046,"20.272 [20.229, 20.291]"
large-HTML-gzip1,2.009628685,2.001193925,0.03401221018521181,1.983472425,2.0246714875,0.04119906250000005,1.9693423000000003,2.08412355,10,2.010 ± 0.034,"2.001 [1.983, 2.025]"
extra-large-JSON-minify0-gzip0,127.41494546349995,127.41238047499999,0.005649354765078586,127.41195565000001,127.41406513750002,0.00210948750000739,127.4115283849993,127.43078885,10,127.415 ± 0.006,"127.412 [127.412, 127.414]"
extra-large-JSON-minify0-gzip1,8.601357225,8.597243125000002,0.007467789156245063,8.595864424999998,8.6084249625,0.012560537500002411,8.59419745,8.6144238,10,8.601 ± 0.007,"8.597 [8.596, 8.608]"
extra-large-JSON-minify1-gzip0,60.61756225500001,60.616932425,0.0015553189014564234,60.6164272875,60.6183296875,0.0019023999999987495,60.61609285,60.62123210000001,10,60.618 ± 0.002,"60.617 [60.616, 60.618]"
extra-large-JSON-minify1-gzip1,6.969189779999999,6.9674336750000005,0.005434905183037119,6.9648028375,6.9718605875,0.007057750000000418,6.963131,6.979697250000001,10,6.969 ± 0.005,"6.967 [6.965, 6.972]"
extra-large-HTML-gzip0,30.621816865,30.596182524999996,0.061784335240253944,30.584915687500004,30.625469937500004,0.04055424999999957,30.581755150000003,30.797608500000003,10,30.622 ± 0.062,"30.596 [30.585, 30.625]"
